Real,Prediccion,Riesgo
52.3333333333333,52.97884,ALTO (Dañino Sensible)
34.1666666666667,36.29622,ALTO (Dañino Sensible)
0.0,2.3763852,BAJO (Bueno)
9.9469964664311,9.9206295,BAJO (Bueno)
51.5833333333333,53.099358,ALTO (Dañino Sensible)
2.16666666666667,3.5934494,BAJO (Bueno)
15.25,15.17216,MEDIO (Moderado)
19.9166666666667,21.06561,MEDIO (Moderado)
27.999999999999996,30.165583,MEDIO (Moderado)
6.41666666666667,7.2697124,BAJO (Bueno)
14.3333333333333,14.179648,MEDIO (Moderado)
4.0,4.5541654,BAJO (Bueno)
90.0833333333333,94.09832,MUY ALTO (Dañino)
9.25,9.445042,BAJO (Bueno)
46.25,45.695522,ALTO (Dañino Sensible)
49.0,50.482372,ALTO (Dañino Sensible)
9.25,9.557389,BAJO (Bueno)
4.91666666666667,5.373124,BAJO (Bueno)
23.3333333333333,25.23302,MEDIO (Moderado)
0.0,1.7990284,BAJO (Bueno)
6.66666666666667,6.8645177,BAJO (Bueno)
77.8333333333333,72.548836,MUY ALTO (Dañino)
64.3333333333333,64.429596,MUY ALTO (Dañino)
15.4166666666667,16.25604,MEDIO (Moderado)
2.41666666666667,4.2044005,BAJO (Bueno)
17.8333333333333,19.040073,MEDIO (Moderado)
0.0,1.283793,BAJO (Bueno)
3.58333333333333,5.107037,BAJO (Bueno)
13.6666666666667,14.025039,MEDIO (Moderado)
0.0,1.5240972,BAJO (Bueno)
17.1666666666667,18.287909,MEDIO (Moderado)
19.1666666666667,19.995865,MEDIO (Moderado)
10.5,10.920943,BAJO (Bueno)
11.9166666666667,12.791797,MEDIO (Moderado)
13.9166666666667,14.369482,MEDIO (Moderado)
8.16666666666667,9.143774,BAJO (Bueno)
7.33333333333333,8.841346,BAJO (Bueno)
12.8333333333333,13.776608,MEDIO (Moderado)
9.08333333333333,10.245295,BAJO (Bueno)
2.08333333333333,4.006029,BAJO (Bueno)
27.0833333333333,28.762299,MEDIO (Moderado)
20.666666666666696,20.729465,MEDIO (Moderado)
3.83333333333333,5.102887,BAJO (Bueno)
45.8333333333333,47.935913,ALTO (Dañino Sensible)
4.75,6.0096154,BAJO (Bueno)
1.16666666666667,3.1305456,BAJO (Bueno)
19.1666666666667,20.383799,MEDIO (Moderado)
0.0,1.751162,BAJO (Bueno)
17.1666666666667,17.716295,MEDIO (Moderado)
37.75,40.106304,ALTO (Dañino Sensible)
2.9166666666666696,4.130797,BAJO (Bueno)
4.25,5.8258796,BAJO (Bueno)
17.9166666666667,17.921814,MEDIO (Moderado)
1.8333333333333302,3.9172604,BAJO (Bueno)
3.41666666666667,4.496247,BAJO (Bueno)
1.58333333333333,3.5379584,BAJO (Bueno)
18.0,17.859016,MEDIO (Moderado)
12.6666666666667,12.858884,MEDIO (Moderado)
7.16666666666667,7.312952,BAJO (Bueno)
30.4166666666667,32.228756,MEDIO (Moderado)
7.58333333333333,7.78035,BAJO (Bueno)
0.5,1.3915229,BAJO (Bueno)
23.3333333333333,24.934038,MEDIO (Moderado)
0.0,1.5942972,BAJO (Bueno)
0.0,1.2141407,BAJO (Bueno)
19.5,19.795963,MEDIO (Moderado)
58.6666666666667,59.214245,MUY ALTO (Dañino)
85.91666666666669,88.25284,MUY ALTO (Dañino)
61.75,61.974808,MUY ALTO (Dañino)
1.5,3.5091412,BAJO (Bueno)
0.916666666666667,3.0966578,BAJO (Bueno)
3.0833333333333304,4.0030465,BAJO (Bueno)
53.25,54.28866,ALTO (Dañino Sensible)
0.0,1.4395313,BAJO (Bueno)
24.8333333333333,26.857372,MEDIO (Moderado)
1.16666666666667,3.107136,BAJO (Bueno)
18.3333333333333,16.178143,MEDIO (Moderado)
4.58333333333333,5.1984487,BAJO (Bueno)
44.58333333333329,45.90228,ALTO (Dañino Sensible)
0.0833333333333333,1.2550539,BAJO (Bueno)
0.0,2.0061812,BAJO (Bueno)
9.66666666666667,10.137509,BAJO (Bueno)
12.7272727272727,13.084594,MEDIO (Moderado)
32.4166666666667,34.967747,MEDIO (Moderado)
4.66666666666667,5.9115143,BAJO (Bueno)
0.0,1.9096782,BAJO (Bueno)
12.3636363636364,13.337186,MEDIO (Moderado)
2.41666666666667,3.7732654,BAJO (Bueno)
12.6666666666667,13.658797,MEDIO (Moderado)
2.9166666666666696,4.726489,BAJO (Bueno)
23.3333333333333,24.235552,MEDIO (Moderado)
72.1538461538462,72.74689,MUY ALTO (Dañino)
0.0,1.7679447,BAJO (Bueno)
33.3333333333333,35.33148,MEDIO (Moderado)
14.0833333333333,14.913437,MEDIO (Moderado)
2.83333333333333,4.688189,BAJO (Bueno)
7.08333333333333,8.255426,BAJO (Bueno)
2.08333333333333,3.0970645,BAJO (Bueno)
0.0,2.0534866,BAJO (Bueno)
15.0,15.132842,MEDIO (Moderado)
13.999999999999998,14.272203,MEDIO (Moderado)
2.0,3.7973237,BAJO (Bueno)
0.0,1.725007,BAJO (Bueno)
17.1666666666667,18.18544,MEDIO (Moderado)
25.5833333333333,27.624287,MEDIO (Moderado)
0.0,1.3441163,BAJO (Bueno)
42.0833333333333,43.418255,ALTO (Dañino Sensible)
27.833333333333297,29.593721,MEDIO (Moderado)
34.1666666666667,35.855522,ALTO (Dañino Sensible)
3.83333333333333,4.4206886,BAJO (Bueno)
60.5,59.118305,MUY ALTO (Dañino)
23.250000000000004,24.679417,MEDIO (Moderado)
0.0,1.6670053,BAJO (Bueno)
3.66666666666667,4.249588,BAJO (Bueno)
3.58333333333333,5.3079433,BAJO (Bueno)
4.0,5.4439163,BAJO (Bueno)
14.0833333333333,14.1978035,MEDIO (Moderado)
23.5,24.458208,MEDIO (Moderado)
27.833333333333297,29.799006,MEDIO (Moderado)
31.4166666666667,33.60354,MEDIO (Moderado)
3.58333333333333,4.873403,BAJO (Bueno)
6.0,7.0289483,BAJO (Bueno)
33.75,36.594193,ALTO (Dañino Sensible)
6.333333333333331,7.646437,BAJO (Bueno)
20.75,21.669788,MEDIO (Moderado)
59.0,59.55308,MUY ALTO (Dañino)
0.0,1.7731129,BAJO (Bueno)
13.1666666666667,15.30201,MEDIO (Moderado)
14.666666666666698,15.090252,MEDIO (Moderado)
6.66666666666667,7.1992116,BAJO (Bueno)
21.4166666666667,22.1872,MEDIO (Moderado)
61.5,62.449856,MUY ALTO (Dañino)
29.25,31.173742,MEDIO (Moderado)
17.3333333333333,18.122204,MEDIO (Moderado)
33.3333333333333,35.82068,ALTO (Dañino Sensible)
25.1666666666667,26.753502,MEDIO (Moderado)
0.0,1.5699921,BAJO (Bueno)
8.91666666666667,5.859717,BAJO (Bueno)
0.0,2.0396695,BAJO (Bueno)
15.8333333333333,16.757654,MEDIO (Moderado)
64.75,64.70679,MUY ALTO (Dañino)
20.5833333333333,20.856352,MEDIO (Moderado)
